_id,propertyAddress,propertyType,propertyWard,InspectionThread,,INSPECTIONS_OPENDATE,INSPECTIONS_CLOSEDDATE,VIOLATIONS_ITEM_NUMBER,Violation_Yes_No
3546041,1 Massey Sq,High Rise,19,_678eb1243D53829,,2018-06-05,2019-01-22,9,Yes
3546042,1 Massey Sq,High Rise,19,_678eb1243D53829,,2018-06-05,2019-01-22,10,Yes
3546043,1 Massey Sq,High Rise,19,_678eb1243D53829,,2018-06-05,2019-01-22,11,Yes
3546044,1 Massey Sq,High Rise,19,_678eb1243D53829,,2018-06-05,2019-01-22,12,Yes
3546045,11 Crescent Pl,High Rise,19,_678eb1FDEE1D349,,2018-05-24,2018-06-20,1,Yes
3546046,11 Crescent Pl,High Rise,19,_678eb1FDEE1D349,,2018-05-24,2018-06-20,2,Yes
3546047,5 Massey Sq,High Rise,19,_678eb29054C063B,,2018-06-05,2019-06-10,1,Yes
3546048,5 Massey Sq,High Rise,19,_678eb29054C063B,,2018-06-05,2019-06-10,2,Yes
3546049,5 Massey Sq,High Rise,19,_678eb29054C063B,,2018-06-05,2019-06-10,3,Yes
3546050,5 Massey Sq,High Rise,19,_678eb29054C063B,,2018-06-05,2019-06-10,4,Yes
3546051,5 Massey Sq,High Rise,19,_678eb29054C063B,,2018-06-05,2019-06-10,5,Yes
3546052,5 Massey Sq,High Rise,19,_678eb29054C063B,,2018-06-05,2019-06-10,6,Yes
3546053,5 Massey Sq,High Rise,19,_678eb29054C063B,,2018-06-05,2019-06-10,7,Yes
3546054,5 Massey Sq,High Rise,19,_678eb29054C063B,,2018-06-05,2019-06-10,8,Yes
3546055,7 Crescent Pl,High Rise,19,_678eb2B5E928286,,2018-05-24,2018-07-03,1,Yes
3546056,7 Crescent Pl,High Rise,19,_678eb2B5E928286,,2018-05-24,2018-07-03,2,Yes
3546057,7 Crescent Pl,High Rise,19,_678eb2B5E928286,,2018-05-24,2018-07-03,3,Yes
3546058,7 Crescent Pl,High Rise,19,_678eb2B5E928286,,2018-05-24,2018-07-03,4,Yes
3546059,7 Crescent Pl,High Rise,19,_678eb2B5E928286,,2018-05-24,2018-07-03,5,Yes
3546060,4645 Jane St,High Rise,7,_678eb8630D19F59,,2018-05-22,2018-05-22,0,No
3546061,3 Massey Sq,High Rise,19,_678ebA35DA065FD,,2018-06-05,2019-06-10,1,Yes
3546062,3 Massey Sq,High Rise,19,_678ebA35DA065FD,,2018-06-05,2019-06-10,2,Yes
3546063,3 Massey Sq,High Rise,19,_678ebA35DA065FD,,2018-06-05,2019-06-10,3,Yes
3546064,3 Massey Sq,High Rise,19,_678ebA35DA065FD,,2018-06-05,2019-06-10,4,Yes
3546065,3 Massey Sq,High Rise,19,_678ebA35DA065FD,,2018-06-05,2019-06-10,5,Yes
3546066,3 Massey Sq,High Rise,19,_678ebA35DA065FD,,2018-06-05,2019-06-10,6,Yes
3546067,3 Massey Sq,High Rise,19,_678ebA35DA065FD,,2018-06-05,2019-06-10,7,Yes
3546068,108 Goodwood Park Crt,High Rise,19,_678ebA6431A3093,,2018-10-16,2018-12-13,1,Yes
3546069,108 Goodwood Park Crt,High Rise,19,_678ebA6431A3093,,2018-10-16,2018-12-13,2,Yes
3546070,108 Goodwood Park Crt,High Rise,19,_678ebA6431A3093,,2018-10-16,2018-12-13,3,Yes
3546071,108 Goodwood Park Crt,High Rise,19,_678ebA6431A3093,,2018-10-16,2018-12-13,4,Yes
3546072,108 Goodwood Park Crt,High Rise,19,_678ebA6431A3093,,2018-10-16,2018-12-13,5,Yes
3546073,108 Goodwood Park Crt,High Rise,19,_678ebA6431A3093,,2018-10-16,2018-12-13,6,Yes
3546074,2627 McCowan Rd,High Rise,23,_678ebCDD194D35F,,2018-05-22,2018-11-27,1,Yes
3546075,2627 McCowan Rd,High Rise,23,_678ebCDD194D35F,,2018-05-22,2018-11-27,2,Yes
3546076,2627 McCowan Rd,High Rise,23,_678ebCDD194D35F,,2018-05-22,2018-11-27,3,Yes
3546077,2627 McCowan Rd,High Rise,23,_678ebCDD194D35F,,2018-05-22,2018-11-27,4,Yes
3546078,2627 McCowan Rd,High Rise,23,_678ebCDD194D35F,,2018-05-22,2018-11-27,5,Yes
3546079,2627 McCowan Rd,High Rise,23,_678ebCDD194D35F,,2018-05-22,2018-11-27,6,Yes
3546080,2627 McCowan Rd,High Rise,23,_678ebCDD194D35F,,2018-05-22,2018-11-27,7,Yes
3546081,2627 McCowan Rd,High Rise,23,_678ebCDD194D35F,,2018-05-22,2018-11-27,8,Yes
3546082,2627 McCowan Rd,High Rise,23,_678ebCDD194D35F,,2018-05-22,2018-11-27,9,Yes
3546083,2627 McCowan Rd,High Rise,23,_678ebCDD194D35F,,2018-05-22,2018-11-27,10,Yes
3546084,2627 McCowan Rd,High Rise,23,_678ebCDD194D35F,,2018-05-22,2018-11-27,11,Yes
3546085,30 Denarda St,High Rise,5,_678ec2981798181,,2018-05-22,2018-05-29,0,No
3546086,283 Pharmacy Ave,High Rise,20,_678ec4D87D6C1E9,,2018-10-01,2019-02-06,1,Yes
3546087,283 Pharmacy Ave,High Rise,20,_678ec4D87D6C1E9,,2018-10-01,2019-02-06,2,Yes
3546088,283 Pharmacy Ave,High Rise,20,_678ec4D87D6C1E9,,2018-10-01,2019-02-06,3,Yes
3546089,41 Mabelle Ave,High Rise,3,_678edFFA6CBEECD,,2018-05-07,2018-05-07,0,No
3546090,121 Humber Blvd,High Rise,5,_678fb192B45A7B8,,2018-06-11,2018-06-15,0,No
3546091,40 Chichester Pl,High Rise,22,_678fc10963C5520,,2018-05-30,2018-09-06,1,Yes
3546092,40 Chichester Pl,High Rise,22,_678fc10963C5520,,2018-05-30,2018-09-06,2,Yes
3546093,40 Chichester Pl,High Rise,22,_678fc10963C5520,,2018-05-30,2018-09-06,3,Yes
3546094,40 Chichester Pl,High Rise,22,_678fc10963C5520,,2018-05-30,2018-09-06,4,Yes
3546095,40 Chichester Pl,High Rise,22,_678fc10963C5520,,2018-05-30,2018-09-06,5,Yes
3546096,40 Chichester Pl,High Rise,22,_678fc10963C5520,,2018-05-30,2018-09-06,6,Yes
3546097,40 Chichester Pl,High Rise,22,_678fc10963C5520,,2018-05-30,2018-09-06,7,Yes
3546098,1 Fountainhead Rd,High Rise,7,_678fd43FFB40D80,,2018-05-28,2018-05-30,0,No
3546099,2293 Eglinton Ave E,High Rise,20,_678fd4C53D9B24A,,2018-07-12,2018-12-13,1,Yes
3546100,2293 Eglinton Ave E,High Rise,20,_678fd4C53D9B24A,,2018-07-12,2018-12-13,2,Yes
3546101,2293 Eglinton Ave E,High Rise,20,_678fd4C53D9B24A,,2018-07-12,2018-12-13,3,Yes
3546102,2293 Eglinton Ave E,High Rise,20,_678fd4C53D9B24A,,2018-07-12,2018-12-13,4,Yes
3546103,30 Burn Hill Rd,High Rise,20,_678fd7A12641A9F,,2018-05-24,2018-07-12,1,Yes
3546104,30 Burn Hill Rd,High Rise,20,_678fd7A12641A9F,,2018-05-24,2018-07-12,2,Yes
3546105,30 Burn Hill Rd,High Rise,20,_678fd7A12641A9F,,2018-05-24,2018-07-12,3,Yes
3546106,41 Mabelle Ave,High Rise,3,_678fd96A914EE72,,2018-05-07,2018-05-07,0,No
3546107,15 James Finlay Way,High Rise,6,_678fdBAADDEF0C0,,2018-05-23,2018-08-16,1,Yes
3546108,2283 Eglinton Ave E,High Rise,20,_678fdC00C28E773,,2018-07-12,2018-07-17,0,No
3546109,2303 Eglinton Ave E,High Rise,20,_678fdC3F47BFDBF,,2018-07-12,2018-10-30,1,Yes
3546110,2303 Eglinton Ave E,High Rise,20,_678fdC3F47BFDBF,,2018-07-12,2018-10-30,2,Yes
3546111,2303 Eglinton Ave E,High Rise,20,_678fdC3F47BFDBF,,2018-07-12,2018-10-30,3,Yes
3546112,2303 Eglinton Ave E,High Rise,20,_678fdC3F47BFDBF,,2018-07-12,2018-10-30,4,Yes
3546113,2303 Eglinton Ave E,High Rise,20,_678fdC3F47BFDBF,,2018-07-12,2018-10-30,5,Yes
3546114,2303 Eglinton Ave E,High Rise,20,_678fdC3F47BFDBF,,2018-07-12,2018-10-30,6,Yes
3546115,909 Bay St,High Rise,13,_678ff663B944F23,,2018-05-23,2019-01-09,1,Yes
3546116,909 Bay St,High Rise,13,_678ff663B944F23,,2018-05-23,2019-01-09,2,Yes
3546117,909 Bay St,High Rise,13,_678ff663B944F23,,2018-05-23,2019-01-09,3,Yes
3546118,909 Bay St,High Rise,13,_678ff663B944F23,,2018-05-23,2019-01-09,4,Yes
3546119,236 Albion Rd,High Rise,1,_67902CA607711DD,,2018-05-23,2018-07-26,1,Yes
3546120,246 Sackville St,High Rise,13,_6790337BAAC2235,,2018-05-25,2022-10-26,1,Yes
3546121,246 Sackville St,High Rise,13,_6790337BAAC2235,,2018-05-25,2022-10-26,2,Yes
3546122,246 Sackville St,High Rise,13,_6790337BAAC2235,,2018-05-25,2022-10-26,3,Yes
3546123,246 Sackville St,High Rise,13,_6790337BAAC2235,,2018-05-25,2022-10-26,4,Yes
3546124,246 Sackville St,High Rise,13,_6790337BAAC2235,,2018-05-25,2022-10-26,5,Yes
3546125,246 Sackville St,High Rise,13,_6790337BAAC2235,,2018-05-25,2022-10-26,6,Yes
3546126,246 Sackville St,High Rise,13,_6790337BAAC2235,,2018-05-25,2022-10-26,7,Yes
3546127,246 Sackville St,High Rise,13,_6790337BAAC2235,,2018-05-25,2022-10-26,8,Yes
3546128,246 Sackville St,High Rise,13,_6790337BAAC2235,,2018-05-25,2022-10-26,9,Yes
3546129,246 Sackville St,High Rise,13,_6790337BAAC2235,,2018-05-25,2022-10-26,10,Yes
3546130,246 Sackville St,High Rise,13,_6790337BAAC2235,,2018-05-25,2022-10-26,11,Yes
3546131,80 Blake St,High Rise,14,_679040AE2E4A3DE,,2018-05-24,2018-05-24,0,No
3546132,1775 Weston Rd,High Rise,5,_67904A0540FF4C2,,2018-05-23,2018-06-08,0,No
3546133,1135 Royal York Rd,High Rise,2,_6791371BF9EB3A1,,2018-05-24,2018-05-24,0,No
3546134,2757 Kipling Ave,High Rise,1,_679139E1B608ACB,,2018-05-24,2018-05-30,0,No
3546135,1765 Weston Rd,High Rise,5,_67913CC2DAA3E8C,,2018-05-23,2018-05-23,0,No
3546136,195 Exbury Rd,High Rise,6,_6791520514F2B99,,2018-05-22,2018-06-13,1,Yes
3546137,90 Burrows Hall Blvd,High Rise,23,_67916B19ECABCC5,,2018-05-30,2018-06-06,0,No
3546138,625 Evans Ave,High Rise,3,_67917123EEAB15D,,2018-05-24,2018-09-06,1,Yes
3546139,625 Evans Ave,High Rise,3,_67917123EEAB15D,,2018-05-24,2018-09-06,2,Yes
3546140,625 Evans Ave,High Rise,3,_67917123EEAB15D,,2018-05-24,2018-09-06,3,Yes
3546141,625 Evans Ave,High Rise,3,_67917123EEAB15D,,2018-05-24,2018-09-06,4,Yes
3546142,625 Evans Ave,High Rise,3,_67917123EEAB15D,,2018-05-24,2018-09-06,5,Yes
3546143,625 Evans Ave,High Rise,3,_67917123EEAB15D,,2018-05-24,2018-09-06,6,Yes
3546144,400 McCowan Rd,High Rise,21,_679172A21AA8CB9,,2018-05-24,2018-05-24,0,No
3546145,2313 Lake Shore Blvd W,High Rise,3,_679182DCB6BDC73,,2018-05-24,2018-08-01,1,Yes
3546146,2313 Lake Shore Blvd W,High Rise,3,_679182DCB6BDC73,,2018-05-24,2018-08-01,2,Yes
3546147,2313 Lake Shore Blvd W,High Rise,3,_679182DCB6BDC73,,2018-05-24,2018-08-01,3,Yes
3546148,2313 Lake Shore Blvd W,High Rise,3,_679182DCB6BDC73,,2018-05-24,2018-08-01,4,Yes
3546149,2313 Lake Shore Blvd W,High Rise,3,_679182DCB6BDC73,,2018-05-24,2018-08-01,5,Yes
3546150,2835 Lake Shore Blvd W,High Rise,3,_6791855576E2B91,,2018-05-24,2018-08-02,1,Yes
3546151,2835 Lake Shore Blvd W,High Rise,3,_6791855576E2B91,,2018-05-24,2018-08-02,2,Yes
3546152,2087 Lake Shore Blvd W,High Rise,3,_6791946C10590E9,,2018-05-24,2018-09-18,1,Yes
3546153,2087 Lake Shore Blvd W,High Rise,3,_6791946C10590E9,,2018-05-24,2018-09-18,2,Yes
3546154,2087 Lake Shore Blvd W,High Rise,3,_6791946C10590E9,,2018-05-24,2018-09-18,3,Yes
3546155,2087 Lake Shore Blvd W,High Rise,3,_6791946C10590E9,,2018-05-24,2018-09-18,4,Yes
3546156,2095 Lake Shore Blvd W,High Rise,3,_6791951B36C1D9B,,2018-05-24,2018-09-18,1,Yes
3546157,2095 Lake Shore Blvd W,High Rise,3,_6791951B36C1D9B,,2018-05-24,2018-09-18,2,Yes
3546158,2095 Lake Shore Blvd W,High Rise,3,_6791951B36C1D9B,,2018-05-24,2018-09-18,3,Yes
3546159,2083 Lake Shore Blvd W,High Rise,3,_679198BA2DB90B9,,2018-05-24,2018-09-18,1,Yes
3546160,2083 Lake Shore Blvd W,High Rise,3,_679198BA2DB90B9,,2018-05-24,2018-09-18,2,Yes
3546161,2083 Lake Shore Blvd W,High Rise,3,_679198BA2DB90B9,,2018-05-24,2018-09-18,3,Yes
3546162,2083 Lake Shore Blvd W,High Rise,3,_679198BA2DB90B9,,2018-05-24,2018-09-18,4,Yes
3546163,2083 Lake Shore Blvd W,High Rise,3,_679198BA2DB90B9,,2018-05-24,2018-09-18,5,Yes
3546164,2083 Lake Shore Blvd W,High Rise,3,_679198BA2DB90B9,,2018-05-24,2018-09-18,6,Yes
3546165,5 Parkway Forest Dr,High Rise,17,_6791aD85C331E87,,2018-05-24,2018-07-26,1,Yes
3546166,5 Parkway Forest Dr,High Rise,17,_6791aD85C331E87,,2018-05-24,2018-07-26,2,Yes
3546167,5 Parkway Forest Dr,High Rise,17,_6791aD85C331E87,,2018-05-24,2018-07-26,3,Yes
3546168,5 Parkway Forest Dr,High Rise,17,_6791aD85C331E87,,2018-05-24,2018-07-26,4,Yes
3546169,5 Parkway Forest Dr,High Rise,17,_6791aD85C331E87,,2018-05-24,2018-07-26,5,Yes
3546170,5 Parkway Forest Dr,High Rise,17,_6791aD85C331E87,,2018-05-24,2018-07-26,6,Yes
3546171,5 Parkway Forest Dr,High Rise,17,_6791aD85C331E87,,2018-05-24,2018-07-26,7,Yes
3546172,5 Parkway Forest Dr,High Rise,17,_6791aD85C331E87,,2018-05-24,2018-07-26,8,Yes
3546173,5 Parkway Forest Dr,High Rise,17,_6791aD85C331E87,,2018-05-24,2018-07-26,9,Yes
3546174,5 Parkway Forest Dr,High Rise,17,_6791aD85C331E87,,2018-05-24,2018-07-26,10,Yes
3546175,5 Parkway Forest Dr,High Rise,17,_6791aD85C331E87,,2018-05-24,2018-07-26,11,Yes
3546176,5 Parkway Forest Dr,High Rise,17,_6791aD85C331E87,,2018-05-24,2018-07-26,12,Yes
3546177,8 The Esplanade,High Rise,13,_6791c0AEC747FD7,,2018-05-25,2018-10-12,1,Yes
3546178,8 The Esplanade,High Rise,13,_6791c0AEC747FD7,,2018-05-25,2018-10-12,2,Yes
3546179,8 The Esplanade,High Rise,13,_6791c0AEC747FD7,,2018-05-25,2018-10-12,3,Yes
3546180,8 The Esplanade,High Rise,13,_6791c0AEC747FD7,,2018-05-25,2018-10-12,4,Yes
3546181,10 Bloorview Pl,High Rise,17,_6792c2A09DB066C,,2018-05-23,2018-07-19,1,Yes
3546182,10 Bloorview Pl,High Rise,17,_6792c2A09DB066C,,2018-05-23,2018-07-19,2,Yes
3546183,10 Bloorview Pl,High Rise,17,_6792c2A09DB066C,,2018-05-23,2018-07-19,3,Yes
3546184,801 Sheppard Ave W,High Rise,6,_6792d22072C498B,,2018-06-05,2018-06-05,0,No
3546185,2801 Jane St,High Rise,7,_6792d82756E65BE,,2018-05-25,2018-06-25,1,Yes
3546186,2801 Jane St,High Rise,7,_6792d82756E65BE,,2018-05-25,2018-06-25,2,Yes
3546187,3 Summerland Ter,High Rise,3,_6792dE1A7570C16,,2018-05-25,2018-08-30,1,Yes
3546188,73 Mc Caul St,High Rise,10,_6792e3ED143CB02,,2018-11-12,2019-05-21,1,Yes
3546189,73 Mc Caul St,High Rise,10,_6792e3ED143CB02,,2018-11-12,2019-05-21,2,Yes
3546190,73 Mc Caul St,High Rise,10,_6792e3ED143CB02,,2018-11-12,2019-05-21,3,Yes
3546191,73 Mc Caul St,High Rise,10,_6792e3ED143CB02,,2018-11-12,2019-05-21,4,Yes
3546192,73 Mc Caul St,High Rise,10,_6792e3ED143CB02,,2018-11-12,2019-05-21,5,Yes
3546193,73 Mc Caul St,High Rise,10,_6792e3ED143CB02,,2018-11-12,2019-05-21,6,Yes
3546194,73 Mc Caul St,High Rise,10,_6792e3ED143CB02,,2018-11-12,2019-05-21,7,Yes
3546195,73 Mc Caul St,High Rise,10,_6792e3ED143CB02,,2018-11-12,2019-05-21,8,Yes
3546196,73 Mc Caul St,High Rise,10,_6792e3ED143CB02,,2018-11-12,2019-05-21,9,Yes
3546197,73 Mc Caul St,High Rise,10,_6792e3ED143CB02,,2018-11-12,2019-05-21,10,Yes
3546198,205 Cosburn Ave,High Rise,14,_6792eC12D0C2AB4,,2018-05-25,2018-05-28,0,No
3546199,89 Mc Caul St,High Rise,10,_6792eD770C676BB,,2018-11-27,2019-05-08,1,Yes
3546200,89 Mc Caul St,High Rise,10,_6792eD770C676BB,,2018-11-27,2019-05-08,2,Yes
3546201,89 Mc Caul St,High Rise,10,_6792eD770C676BB,,2018-11-27,2019-05-08,3,Yes
3546202,89 Mc Caul St,High Rise,10,_6792eD770C676BB,,2018-11-27,2019-05-08,4,Yes
3546203,89 Mc Caul St,High Rise,10,_6792eD770C676BB,,2018-11-27,2019-05-08,5,Yes
3546204,89 Mc Caul St,High Rise,10,_6792eD770C676BB,,2018-11-27,2019-05-08,6,Yes
3546205,89 Mc Caul St,High Rise,10,_6792eD770C676BB,,2018-11-27,2019-05-08,7,Yes
3546206,335 Mill Rd,High Rise,2,_6792f2DEFA433D4,,2018-07-11,2018-07-17,0,No
3546207,56 Annie Craig Dr,High Rise,3,_6793363B2CEC3A3,,2018-05-23,2018-09-05,1,Yes
3546208,101 St Clair Ave W,High Rise,12,_67973A06F382ED0,,2018-05-29,2018-06-14,0,No
3546209,2777 Kipling Ave,High Rise,1,_67973F00C8D6542,,2018-05-29,2018-05-29,0,No
3546210,763 Bay St,High Rise,11,_6797403773EA578,,2018-05-28,2018-05-28,0,No
3546211,1264 York Mills Rd,High Rise,16,_6797404152DAD74,,2018-05-28,2018-06-01,0,No
3546212,44 Valley Woods Rd,High Rise,16,_67974164C967E09,,2018-05-28,2018-05-28,0,No
3546213,942 Yonge St,High Rise,11,_67974698FD72AF2,,2018-05-28,2018-05-29,1,Yes
3546214,1577 Lawrence Ave W,High Rise,5,_67974700B83DB5F,,2018-05-28,2018-05-30,0,No
3546215,1850 Victoria Park Ave,High Rise,16,_67974A4B85B87F3,,2018-05-28,2018-05-29,0,No
3546216,10 Delisle Ave,High Rise,12,_67974F1B758FF63,,2018-05-24,2018-05-24,1,Yes
3546217,11 Bogert Ave,High Rise,18,_679754C3391251B,,2018-05-28,2018-05-29,0,No
3546218,320 Assiniboine Rd,High Rise,7,_6797556036F4496,,2018-05-30,2018-05-30,0,No
3546219,400 McCowan Rd,High Rise,21,_67975838B6FE014,,2018-05-29,2018-05-29,0,No
3546220,8 The Esplanade,High Rise,13,_679760ABE06F651,,2018-05-28,2018-07-23,0,No
3546221,2 Neptune Dr,High Rise,8,_6797648B83454B4,,2018-05-29,2018-05-29,0,No
3546222,10 Sunny Glenway,High Rise,16,_67976AAA796BBCF,,2018-05-25,2018-07-06,0,No
3546223,2008 Pharmacy Ave,High Rise,22,_679784E4EA2C5FF,,2018-12-19,2019-03-27,1,Yes
3546224,2008 Pharmacy Ave,High Rise,22,_679784E4EA2C5FF,,2018-12-19,2019-03-27,2,Yes
3546225,2008 Pharmacy Ave,High Rise,22,_679784E4EA2C5FF,,2018-12-19,2019-03-27,3,Yes
3546226,2008 Pharmacy Ave,High Rise,22,_679784E4EA2C5FF,,2018-12-19,2019-03-27,4,Yes
3546227,761 Bay St,High Rise,11,_67978A7E826C77F,,2018-05-28,2018-08-20,1,Yes
3546228,761 Bay St,High Rise,11,_67978A7E826C77F,,2018-05-28,2018-08-20,2,Yes
3546229,2800 Warden Ave,High Rise,22,_6797902316094C4,,2019-01-23,2019-05-16,1,Yes
3546230,2800 Warden Ave,High Rise,22,_6797902316094C4,,2019-01-23,2019-05-16,2,Yes
3546231,2800 Warden Ave,High Rise,22,_6797902316094C4,,2019-01-23,2019-05-16,3,Yes
3546232,2800 Warden Ave,High Rise,22,_6797902316094C4,,2019-01-23,2019-05-16,4,Yes
3546233,2800 Warden Ave,High Rise,22,_6797902316094C4,,2019-01-23,2019-05-16,5,Yes
3546234,2800 Warden Ave,High Rise,22,_6797902316094C4,,2019-01-23,2019-05-16,6,Yes
3546235,2800 Warden Ave,High Rise,22,_6797902316094C4,,2019-01-23,2019-05-16,7,Yes
3546236,2800 Warden Ave,High Rise,22,_6797902316094C4,,2019-01-23,2019-05-16,8,Yes
3546237,2800 Warden Ave,High Rise,22,_6797902316094C4,,2019-01-23,2019-05-16,9,Yes
3546238,2800 Warden Ave,High Rise,22,_6797902316094C4,,2019-01-23,2019-05-16,10,Yes
3546239,2800 Warden Ave,High Rise,22,_6797902316094C4,,2019-01-23,2019-05-16,11,Yes
3546240,2800 Warden Ave,High Rise,22,_6797902316094C4,,2019-01-23,2019-05-16,12,Yes
3546241,2800 Warden Ave,High Rise,22,_6797902316094C4,,2019-01-23,2019-05-16,13,Yes
3546242,2800 Warden Ave,High Rise,22,_6797902316094C4,,2019-01-23,2019-05-16,14,Yes
3546243,2739 Victoria Park Ave,High Rise,22,_679792508D25AFB,,2018-11-27,2019-02-06,1,Yes
3546244,2739 Victoria Park Ave,High Rise,22,_679792508D25AFB,,2018-11-27,2019-02-06,2,Yes
3546245,2739 Victoria Park Ave,High Rise,22,_679792508D25AFB,,2018-11-27,2019-02-06,3,Yes
3546246,2743 Victoria Park Ave,High Rise,22,_67979317C7C4BD3,,2018-10-01,2018-11-13,1,Yes
3546247,2743 Victoria Park Ave,High Rise,22,_67979317C7C4BD3,,2018-10-01,2018-11-13,2,Yes
3546248,2743 Victoria Park Ave,High Rise,22,_67979317C7C4BD3,,2018-10-01,2018-11-13,3,Yes
3546249,2743 Victoria Park Ave,High Rise,22,_67979317C7C4BD3,,2018-10-01,2018-11-13,4,Yes
3546250,2743 Victoria Park Ave,High Rise,22,_67979317C7C4BD3,,2018-10-01,2018-11-13,5,Yes
3546251,2743 Victoria Park Ave,High Rise,22,_67979317C7C4BD3,,2018-10-01,2018-11-13,6,Yes
3546252,2743 Victoria Park Ave,High Rise,22,_67979317C7C4BD3,,2018-10-01,2018-11-13,7,Yes
3546253,2743 Victoria Park Ave,High Rise,22,_67979317C7C4BD3,,2018-10-01,2018-11-13,8,Yes
3546254,7 Glamorgan Ave,High Rise,21,_679793A95B3A107,,2018-09-12,2019-01-14,1,Yes
3546255,7 Glamorgan Ave,High Rise,21,_679793A95B3A107,,2018-09-12,2019-01-14,2,Yes
3546256,7 Glamorgan Ave,High Rise,21,_679793A95B3A107,,2018-09-12,2019-01-14,3,Yes
3546257,7 Glamorgan Ave,High Rise,21,_679793A95B3A107,,2018-09-12,2019-01-14,4,Yes
3546258,7 Glamorgan Ave,High Rise,21,_679793A95B3A107,,2018-09-12,2019-01-14,5,Yes
3546259,3333 Finch Ave E,High Rise,22,_6797975BF1C3A92,,2018-11-14,2019-04-03,1,Yes
3546260,3333 Finch Ave E,High Rise,22,_6797975BF1C3A92,,2018-11-14,2019-04-03,2,Yes
3546261,3333 Finch Ave E,High Rise,22,_6797975BF1C3A92,,2018-11-14,2019-04-03,3,Yes
3546262,3333 Finch Ave E,High Rise,22,_6797975BF1C3A92,,2018-11-14,2019-04-03,4,Yes
3546263,3333 Finch Ave E,High Rise,22,_6797975BF1C3A92,,2018-11-14,2019-04-03,5,Yes
3546264,3333 Finch Ave E,High Rise,22,_6797975BF1C3A92,,2018-11-14,2019-04-03,6,Yes
3546265,3333 Finch Ave E,High Rise,22,_6797975BF1C3A92,,2018-11-14,2019-04-03,7,Yes
3546266,3333 Finch Ave E,High Rise,22,_6797975BF1C3A92,,2018-11-14,2019-04-03,8,Yes
3546267,3333 Finch Ave E,High Rise,22,_6797975BF1C3A92,,2018-11-14,2019-04-03,9,Yes
3546268,365 Bay Mills Blvd,High Rise,22,_6797981C64C433B,,2018-07-19,2018-09-11,1,Yes
3546269,365 Bay Mills Blvd,High Rise,22,_6797981C64C433B,,2018-07-19,2018-09-11,2,Yes
3546270,365 Bay Mills Blvd,High Rise,22,_6797981C64C433B,,2018-07-19,2018-09-11,3,Yes
3546271,365 Bay Mills Blvd,High Rise,22,_6797981C64C433B,,2018-07-19,2018-09-11,4,Yes
3546272,365 Bay Mills Blvd,High Rise,22,_6797981C64C433B,,2018-07-19,2018-09-11,5,Yes
3546273,365 Bay Mills Blvd,High Rise,22,_6797981C64C433B,,2018-07-19,2018-09-11,6,Yes
3546274,365 Bay Mills Blvd,High Rise,22,_6797981C64C433B,,2018-07-19,2018-09-11,7,Yes
3546275,365 Bay Mills Blvd,High Rise,22,_6797981C64C433B,,2018-07-19,2018-09-11,8,Yes
3546276,365 Bay Mills Blvd,High Rise,22,_6797981C64C433B,,2018-07-19,2018-09-11,9,Yes
3546277,365 Bay Mills Blvd,High Rise,22,_6797981C64C433B,,2018-07-19,2018-09-11,10,Yes
3546278,2821 Birchmount Rd,High Rise,22,_67979C85FB42841,,2018-08-16,2018-11-14,1,Yes
3546279,2821 Birchmount Rd,High Rise,22,_67979C85FB42841,,2018-08-16,2018-11-14,2,Yes
3546280,2821 Birchmount Rd,High Rise,22,_67979C85FB42841,,2018-08-16,2018-11-14,3,Yes
3546281,2821 Birchmount Rd,High Rise,22,_67979C85FB42841,,2018-08-16,2018-11-14,4,Yes
3546282,2821 Birchmount Rd,High Rise,22,_67979C85FB42841,,2018-08-16,2018-11-14,5,Yes
3546283,2821 Birchmount Rd,High Rise,22,_67979C85FB42841,,2018-08-16,2018-11-14,6,Yes
3546284,2821 Birchmount Rd,High Rise,22,_67979C85FB42841,,2018-08-16,2018-11-14,7,Yes
3546285,2821 Birchmount Rd,High Rise,22,_67979C85FB42841,,2018-08-16,2018-11-14,8,Yes
3546286,2821 Birchmount Rd,High Rise,22,_67979C85FB42841,,2018-08-16,2018-11-14,9,Yes
3546287,2821 Birchmount Rd,High Rise,22,_67979C85FB42841,,2018-08-16,2018-11-14,10,Yes
3546288,2250 Kennedy Rd,High Rise,22,_67979F609686229,,2018-06-27,2018-07-31,1,Yes
3546289,2250 Kennedy Rd,High Rise,22,_67979F609686229,,2018-06-27,2018-07-31,2,Yes
3546290,2250 Kennedy Rd,High Rise,22,_67979F609686229,,2018-06-27,2018-07-31,3,Yes
3546291,2250 Kennedy Rd,High Rise,22,_67979F609686229,,2018-06-27,2018-07-31,4,Yes
3546292,2250 Kennedy Rd,High Rise,22,_67979F609686229,,2018-06-27,2018-07-31,5,Yes
3546293,2250 Kennedy Rd,High Rise,22,_67979F609686229,,2018-06-27,2018-07-31,6,Yes
3546294,6 Glamorgan Ave,High Rise,21,_67979FE7FC9DB7E,,2018-11-05,2019-03-25,1,Yes
3546295,6 Twenty Fourth St,High Rise,3,_6797a24CC539F40,,2018-05-15,2018-10-17,1,Yes
3546296,6 Twenty Fourth St,High Rise,3,_6797a24CC539F40,,2018-05-15,2018-10-17,2,Yes
3546297,6 Twenty Fourth St,High Rise,3,_6797a24CC539F40,,2018-05-15,2018-10-17,3,Yes
