_id,propertyAddress,propertyType,propertyWard,InspectionThread,,INSPECTIONS_OPENDATE,INSPECTIONS_CLOSEDDATE,VIOLATIONS_ITEM_NUMBER,Violation_Yes_No
3584161,4968 Yonge St,High Rise,18,_6dcd40C65CAB611,,2021-04-22,2021-04-28,0,No
3584162,2999 Jane St,High Rise,7,_6dcd4A1516D61E4,,2021-04-22,2021-04-22,0,No
3584163,3181 Eglinton Ave E,High Rise,20,_6dcd4BCD84AAEFF,,2021-04-22,2021-06-16,0,No
3584164,111 Pacific Ave,High Rise,4,_6dcd643B1E1B66B,,2021-02-18,2021-04-22,0,No
3584165,3000 Queen St E,Low Rise,20,_6dcd84CD691D738,,2021-04-27,2021-05-17,0,No
3584166,425 Walmer Rd,High Rise,12,_6dcd8862E5D8186,,2021-04-22,2021-04-22,0,No
3584167,11 Lillian St,High Rise,12,_6dcd9C3D500BC14,,2021-04-22,2021-04-23,0,No
3584168,213 Carlton St,Rooming House,13,_6dcda6ED57DEAE2,,2022-02-01,2022-02-02,0,No
3584169,19 Brant St,High Rise,10,_6dcebAF15949331,,2021-04-26,2021-04-27,0,No
3584170,335 Van Horne Ave,High Rise,17,_6dcec43954200C1,,2021-04-26,2021-05-26,1,Yes
3584171,370 Dixon Rd,High Rise,1,_6dcec98418498B7,,2021-04-23,2021-11-19,0,No
3584172,1441 Lawrence Ave E,High Rise,16,_6dcee522F8C00E6,,2021-04-21,2022-01-11,1,Yes
3584173,1441 Lawrence Ave E,High Rise,16,_6dcee522F8C00E6,,2021-04-21,2022-01-11,2,Yes
3584174,1441 Lawrence Ave E,High Rise,16,_6dcee522F8C00E6,,2021-04-21,2022-01-11,3,Yes
3584175,1441 Lawrence Ave E,High Rise,16,_6dcee522F8C00E6,,2021-04-21,2022-01-11,4,Yes
3584176,1441 Lawrence Ave E,High Rise,16,_6dcee522F8C00E6,,2021-04-21,2022-01-11,5,Yes
3584177,1441 Lawrence Ave E,High Rise,16,_6dcee522F8C00E6,,2021-04-21,2022-01-11,6,Yes
3584178,1441 Lawrence Ave E,High Rise,16,_6dcee522F8C00E6,,2021-04-21,2022-01-11,7,Yes
3584179,1441 Lawrence Ave E,High Rise,16,_6dcee522F8C00E6,,2021-04-21,2022-01-11,8,Yes
3584180,1441 Lawrence Ave E,High Rise,16,_6dcee522F8C00E6,,2021-04-21,2022-01-11,9,Yes
3584181,1441 Lawrence Ave E,High Rise,16,_6dcee522F8C00E6,,2021-04-21,2022-01-11,10,Yes
3584182,1441 Lawrence Ave E,High Rise,16,_6dcee522F8C00E6,,2021-04-21,2022-01-11,11,Yes
3584183,11 Shallmar Blvd,High Rise,8,_6dcf004EE408AEA,,2021-05-11,2021-09-14,1,Yes
3584184,11 Shallmar Blvd,High Rise,8,_6dcf004EE408AEA,,2021-05-11,2021-09-14,2,Yes
3584185,11 Shallmar Blvd,High Rise,8,_6dcf004EE408AEA,,2021-05-11,2021-09-14,3,Yes
3584186,11 Shallmar Blvd,High Rise,8,_6dcf004EE408AEA,,2021-05-11,2021-09-14,4,Yes
3584187,11 Shallmar Blvd,High Rise,8,_6dcf004EE408AEA,,2021-05-11,2021-09-14,5,Yes
3584188,11 Shallmar Blvd,High Rise,8,_6dcf004EE408AEA,,2021-05-11,2021-09-14,6,Yes
3584189,11 Shallmar Blvd,High Rise,8,_6dcf004EE408AEA,,2021-05-11,2021-09-14,7,Yes
3584190,140 Elm Ridge Dr,High Rise,8,_6dcf01315E5835F,,2021-05-11,2021-06-03,0,No
3584191,3638 Bathurst St,High Rise,8,_6dcf045F3C90EB9,,2021-06-30,2021-07-15,0,No
3584192,630 Roselawn Ave,High Rise,8,_6dcf05BA5232601,,2021-05-12,2021-05-20,0,No
3584193,3800 Yonge St,High Rise,8,_6dcf063D8528F5F,,2021-12-13,2022-05-27,0,No
3584194,4000 Yonge St,High Rise,8,_6dcf0AC47539962,,2021-04-30,2021-12-22,0,No
3584195,545 Davisville Ave,Low Rise,15,_6dcf27D1C5F10D9,,2021-04-23,2021-06-24,1,Yes
3584196,200 Kingsview Blvd,Low Rise,1,_6dcf35DD6AE9307,,2021-04-23,2021-04-23,0,No
