_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
2266385,4290959,2018.0,,1962.0,PRIVATE,3,Etobicoke-Lakeshore,25 ELIZABETH ST,3,29,2022-12-29,81,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,4.0,4.0,4.0,,3.0,,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,,,W0336,43.6135850358,-79.4949390042,305192.817,4830182.433
2266386,4155210,2017.0,,1949.0,PRIVATE,3,Etobicoke-Lakeshore,2688 BLOOR ST W,4,21,2022-12-29,83,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,4.0,3.0,,4.0,,,4.0,5.0,5.0,4.0,4.0,5.0,,3.0,4.0,,W0322,43.65031426189999,-79.4971169059,305016.898,4834262.829
2266387,4155211,2017.0,,1949.0,PRIVATE,3,Etobicoke-Lakeshore,2690 BLOOR ST W,4,18,2022-12-29,81,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,4.0,4.0,3.0,,4.0,,4.0,4.0,5.0,5.0,4.0,4.0,4.0,,3.0,4.0,,W0322,43.6503326449,-79.49736598930001,304996.803,4834264.87
2266388,4155212,2017.0,,1949.0,PRIVATE,3,Etobicoke-Lakeshore,2692-2694 BLOOR ST W,4,40,2022-12-29,79,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,3.0,3.0,,4.0,,,4.0,5.0,5.0,4.0,4.0,4.0,,3.0,3.0,,W0322,43.6502825734,-79.4978680746,304956.297,4834259.305
2266389,4152905,2017.0,,1993.0,SOCIAL HOUSING,4,Parkdale-High Park,93 LAVINIA AVE,5,68,2022-12-29,91,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,S0430,43.6473083382,-79.4777129608,306582.355,4833929.1
2266390,4155305,2017.0,,1979.0,TCHC,3,Etobicoke-Lakeshore,41 MABELLE AVE,19,350,2022-12-29,91,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,W0321,43.6448379761,-79.5277127601,302548.527,4833654.887
2266391,4155302,2017.0,,1974.0,PRIVATE,3,Etobicoke-Lakeshore,52 MABELLE AVE,22,310,2022-12-29,77,Evaluation needs to be conducted in 2 years,19,5.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,,W0321,43.6464029439,-79.5294506955,302408.377,4833828.787
2266392,4155228,2018.0,,1962.0,PRIVATE,3,Etobicoke-Lakeshore,9 KINSDALE BLVD,4,23,2022-12-29,86,Evaluation needs to be conducted in 3 years,16,4.0,4.0,5.0,5.0,5.0,4.0,,4.0,,4.0,4.0,5.0,5.0,3.0,4.0,5.0,,4.0,4.0,,W0329,43.6352649375,-79.4919665857,305432.484,4832590.959
2266393,4155221,2017.0,,1970.0,PRIVATE,3,Etobicoke-Lakeshore,620 EVANS AVE,3,25,2022-12-29,71,Evaluation needs to be conducted in 2 years,17,4.0,2.0,5.0,4.0,3.0,3.0,,4.0,,4.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,,W0330,43.610802275,-79.550398922,300715.86600000004,4829875.377
2266394,4153574,2017.0,,1991.0,SOCIAL HOUSING,13,Toronto Centre,330 DUNDAS ST E,4,29,2022-12-29,60,Evaluation needs to be conducted in 1 year,15,3.0,3.0,5.0,3.0,3.0,3.0,,4.0,,,3.0,3.0,1.0,2.0,2.0,2.0,,4.0,,4.0,S1329,43.65874826859999,-79.3702105377,315252.836,4835207.824
2266395,4156523,2017.0,,1950.0,PRIVATE,2,Etobicoke Centre,4750 DUNDAS ST W,4,14,2022-12-29,86,Evaluation needs to be conducted in 3 years,14,5.0,4.0,5.0,4.0,4.0,2.0,,4.0,,,4.0,5.0,5.0,4.0,5.0,5.0,,4.0,,,W0229,43.652601481000005,-79.525645179,302689.55199999997,4834490.961
2266396,4156289,2017.0,,1950.0,PRIVATE,2,Etobicoke Centre,4752 DUNDAS ST W,4,14,2022-12-29,86,Evaluation needs to be conducted in 3 years,14,5.0,4.0,5.0,4.0,4.0,2.0,,4.0,,,4.0,5.0,5.0,4.0,5.0,5.0,,4.0,,,W0229,43.652394933000004,-79.525845839,302688.053,4834472.61
2266397,4156225,2017.0,,1950.0,PRIVATE,2,Etobicoke Centre,4754 DUNDAS ST W,4,14,2022-12-29,86,Evaluation needs to be conducted in 3 years,14,5.0,4.0,5.0,4.0,4.0,2.0,,4.0,,,4.0,5.0,5.0,4.0,5.0,5.0,,4.0,,,W0229,43.652203577,-79.525983776,302683.101,4834465.154
2266398,4152901,2017.0,,1957.0,PRIVATE,4,Parkdale-High Park,9 MORNINGSIDE AVE,4,36,2022-12-29,75,Evaluation needs to be conducted in 2 years,15,3.0,4.0,4.0,3.0,4.0,2.0,,4.0,4.0,,3.0,4.0,5.0,4.0,4.0,4.0,,4.0,,,S0430,43.645605233000005,-79.473469677,306924.468,4833740.943
